
--> missed   -1368064 bytes
init: uplg:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: prst:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: innL:   5 ticks,   15437824 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: swtp:   1 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: prog:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: flpf:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: crst:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: rgbs:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: cmyk:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: gray:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: imSt:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: actn:   2 ticks,     425984 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: book:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: UFlt:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: imgd:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ImFr:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: JPEG:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: JPS :   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: PS25:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: CPSD:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: patn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: colr:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: scrn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: tran:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: adju:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: resz:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: vmem:   0 ticks,   44208128 bytes,        0 current alloc,        0 objects,        0 VM tiles
--> missed         12 VMTiles
init: type:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: plgS:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: capn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
init: iccc:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: iccc:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: crst:   1 ticks,    1122304 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: book:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: patn:   0 ticks,    4149248 bytes,        0 current alloc,        0 objects,      164 VM tiles
pref: CPSD:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: actn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: adju:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: capn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: cmyk:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: flpf:   1 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: UFlt:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: gray:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: imgd:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ImFr:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: innL:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: JPEG:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: JPS :   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: imSt:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: plgS:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: prog:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: PS25:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: resz:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: rgbs:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: scrn:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: type:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: tran:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: vmem:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: swtp:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: colr:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: ????:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: prst:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
pref: uplg:   0 ticks,          0 bytes,        0 current alloc,        0 objects,        0 VM tiles
