Date,Open,High,Low,Close,Volume
18-Mar-02,2.30,2.45,2.19,2.45,61300
15-Mar-02,2.38,2.38,2.20,2.35,14100
14-Mar-02,2.45,2.45,2.25,2.38,16500
13-Mar-02,2.55,2.65,2.22,2.42,30200
12-Mar-02,2.49,2.49,2.27,2.38,10600
11-Mar-02,2.51,2.69,2.46,2.48,17700
8-Mar-02,2.51,2.75,2.51,2.61,19700
7-Mar-02,2.60,2.70,2.50,2.70,64800
6-Mar-02,2.50,2.85,2.40,2.60,74000
5-Mar-02,2.24,2.70,2.15,2.41,78200
4-Mar-02,2.08,2.39,1.96,2.30,55200
1-Mar-02,1.96,2.15,1.80,2.00,32700
28-Feb-02,2.00,2.13,1.79,2.00,51800
27-Feb-02,2.14,2.15,2.00,2.03,29100
26-Feb-02,2.11,2.29,2.10,2.18,12200
25-Feb-02,2.18,2.23,2.10,2.11,25500
22-Feb-02,2.15,2.27,2.10,2.10,16700
21-Feb-02,2.14,2.29,2.10,2.27,26600
20-Feb-02,2.28,2.35,2.15,2.15,25800
19-Feb-02,2.34,2.74,2.26,2.27,43900
15-Feb-02,2.26,2.50,2.25,2.26,5200
14-Feb-02,2.41,2.54,2.30,2.35,13000
13-Feb-02,2.47,2.67,2.40,2.40,19700
12-Feb-02,2.64,2.64,2.25,2.36,63000
11-Feb-02,2.45,2.73,2.40,2.67,41100
8-Feb-02,2.61,2.66,2.50,2.60,23500
7-Feb-02,2.85,2.85,2.55,2.61,39600
6-Feb-02,2.79,2.89,2.70,2.83,148000
5-Feb-02,2.52,2.95,2.26,2.50,130100
4-Feb-02,2.87,3.05,2.50,2.60,130300
1-Feb-02,3.13,3.26,2.82,2.91,204900
30-Jan-02,3.40,3.40,3.16,3.20,85000
29-Jan-02,3.44,3.50,3.20,3.30,240300
28-Jan-02,3.05,3.50,3.05,3.45,89800
25-Jan-02,2.96,3.20,2.96,3.13,46700
24-Jan-02,3.20,3.25,2.90,2.92,35700
23-Jan-02,3.30,3.33,3.04,3.27,38000
22-Jan-02,3.35,3.55,3.06,3.25,301200
18-Jan-02,3.24,3.30,2.92,3.14,103100
17-Jan-02,3.30,3.50,3.20,3.30,536100
16-Jan-02,2.94,2.98,2.74,2.98,91800
15-Jan-02,2.60,3.03,2.60,2.95,397000
14-Jan-02,2.60,2.85,2.50,2.70,24600
11-Jan-02,2.45,2.62,2.41,2.55,128900
10-Jan-02,2.35,2.50,2.35,2.45,94100
9-Jan-02,2.30,2.43,2.09,2.38,123000
8-Jan-02,2.00,2.25,2.00,2.24,277100
7-Jan-02,1.90,2.15,1.90,2.15,123100
4-Jan-02,1.94,1.98,1.85,1.90,50200
3-Jan-02,1.88,1.90,1.77,1.83,3800
2-Jan-02,1.80,1.80,1.80,1.80,2700
31-Dec-01,1.75,1.98,1.65,1.75,77700
28-Dec-01,1.81,1.85,1.68,1.75,38100
27-Dec-01,1.84,1.85,1.70,1.81,32300
26-Dec-01,1.87,1.99,1.80,1.85,32100
24-Dec-01,1.76,1.98,1.75,1.98,22600
21-Dec-01,1.60,1.85,1.60,1.85,391900
20-Dec-01,1.63,1.74,1.60,1.61,288900
19-Dec-01,1.60,1.74,1.60,1.62,77200
18-Dec-01,1.55,1.63,1.55,1.60,42200
17-Dec-01,1.59,1.65,1.50,1.63,57900
