recordID, asset-path, category, status, description, date-last-mod, time-last-mod
1000141, "img-xml-after-styles-to-tags.jpg", xml, provisional, "After Style Tag Map", "2005-3-7", "12:48:43"
1000592, "cmp-fnd-object-model.pdf", xml, provisional, "Object Model", "2007-4-9", "07:41:30"
1000653, "cmp-xml-doc-model-logical-structure.pdf", xml, provisional, "Logical Structure", "2005-3-7", "06:39:27"
1000589, "con-xml-sbos-tagged-graphic.pdf", xml, provisional, "Tagged Graphic", "2005-3-7", "06:39:27"
1000793, "design-xml-high-level.pdf", xml, final, "High-Level Design", "2005-4-9", "16:39:27"
1000238, "img-xml-after-import-image.gif", xml, provisional, "After Importing XML", "2005-4-7", "11:47:27"
1000462, "img-xml-after-new-element.jpg", xml, provisional, "After New Element", "2005-3-7", "12:29:27"
1000643, "img-layout-a-1-master-spread.pdf", layout, provisional, "Master", "2005-3-7", "12:29:27"
1000383, "cls-layout-conceptual.pdf", layout, provisional, "Conceptual Design", "2005-3-7", "12:29:27"
1000279, "cls-layout-document-list.pdf", layout, final, "Document List", "2005-3-7", "12:29:27"
1000869, "cls-layout-frame-interfaces.pdf", layout, provisional, "Frame Interfaces", "2005-3-7", "12:31:27"
1000604, "cls-layout-hierarchy.pdf", layout, provisional, "Hierarchy", "2005-3-7", "12:29:27"
1000401, "cls-layout-parent-child.pdf", layout, provisional, "Parent-Child", "2005-3-7", "12:29:27"
1000089, "cls-layout-widget.pdf", layout, provisional, "Layout Widget", "2005-3-7", "12:29:27"
1000358, "cls-layout-window.pdf", layout, provisional, "Layout Window", "2005-3-7", "12:29:27"
1000618, "strokeandfill.jpg", graphics, final, "Stroke-Fill", "2005-3-7", "12:29:27"
1000834, "preflight.jpg", graphics, final,"Preflight", "2005-4-7", "12:29:27"
